Provinces,Number of Fire Accidents,Number of Deaths,Number of Injuries,Direct Economic Losses,Average Number of fire Accidents per 100000 Persons
National Total,129381,1236,651,162390.7,9.7
Beijing,5615,33,50,15926.1,45.0
Tianjin,1328,15,13,940.8,13.5
Hebei,3052,34,16,4105.5,4.2
Shanxi,4777,7,14,3608.8,13.8
Inner Mongolia,9364,46,15,5353.0,38.2
Liaoning,2949,19,6,2755.9,6.9
Jilin,8209,44,11,3384.3,30.2
Heilongjiang,2802,24,9,5909.6,7.3
Shanghai,6086,63,41,3990.0,43.5
Jiangsu,5035,84,49,7714.2,6.8
Zhejiang,4323,87,28,6063.0,9.2
Anhui,5475,45,24,8400.4,8.1
Fujian,3747,52,38,12157.7,10.7
Jiangxi,5963,23,10,6710.4,12.9
Shandong,6255,34,10,5334.1,6.6
Henan,2627,15,8,2679.6,2.5
Hubei,11358,42,21,5078.0,18.5
Hunan,2563,52,16,9964.1,3.7
Guangdong,4564,134,75,13391.6,5.5
Guangxi,1101,37,22,4993.1,2.1
Hainan,1007,6,5,1472.3,11.5
Chongqing,6017,43,28,3764.9,18.4
Siclman,5682,51,42,7243.2,6.3
Guizhou,912,80,29,3615.6,2.2
Yunnan,2175,64,27,5805.3,4.9
Tibet,206,10,14,411.7,7.1
Shaanxi,4696,31,5,6808.3,12.2
Gansu,1244,5,6,1504.9,4.6
Qinghai,1349,8,5,850.7,24.8
Ningxia,3938,4,,326.2,62.1
Xinjiang,4962,44,14,2127.4,23.4
